deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
2.127369,1.486439,1.219735,7.616468,0.723214,0.362815
2.855172,1.207955,0.800480,5.620494,0.465819,0.566593
1.043488,-3.858196,-2.613312,6.607514,-0.768160,0.818780
1.615976,8.617829,2.770867,9.058145,0.421502,1.364434
11.512599,-2.531019,-0.432810,5.586065,-0.072745,2.126729
7.591237,7.364672,1.540501,7.667375,0.257485,1.525904
3.644705,-1.890446,-0.956964,8.778296,-0.421671,0.486058
5.518361,-0.230558,-0.083512,7.847586,-0.030233,0.704010
6.255982,2.391878,0.730371,6.276187,0.210124,1.091245
1.974320,1.140810,1.047908,5.499614,0.720319,0.434210
4.656615,0.478965,0.204993,6.448349,0.087197,0.727223
1.937528,-0.560813,-0.563496,5.360313,-0.503902,0.381320
8.373593,8.432394,1.577794,5.886958,0.234438,2.244305
3.166068,-0.656480,-0.408903,5.375544,-0.246085,0.605715
1.346242,3.544341,2.415598,9.224342,0.778476,0.531035
5.025747,-6.252357,-1.787465,9.528335,-0.370691,0.965375
2.506851,4.629406,2.148996,9.743523,0.589003,0.660222
4.411960,-4.579621,-1.608085,9.235751,-0.425354,0.768724
5.288356,0.276878,0.104617,8.905939,0.039462,0.594886
2.158993,5.786456,2.427365,7.751688,0.545392,1.032110
2.651528,-2.490555,-1.508207,7.619088,-0.645304,0.525903
2.562685,2.563887,1.571265,5.104330,0.662684,0.788871
5.813914,-1.569408,-0.527312,9.741816,-0.171418,0.625382
4.599531,-4.532380,-1.556090,6.866741,-0.410135,1.042424
9.942299,-1.578169,-0.314839,5.339005,-0.062222,1.893325
4.382654,3.545815,1.360478,7.302408,0.419753,0.834910
4.755731,12.413377,2.409863,6.051456,0.273917,2.834464
3.848004,-6.590415,-2.084630,6.208772,-0.425051,1.483567
0.053677,-6.829786,-3.125874,7.879110,-0.529799,1.354872
3.539544,9.313590,2.415227,5.204096,0.359004,2.473372
3.005049,-0.039497,-0.026285,9.376114,-0.017500,0.320537
14.880122,1.208872,0.162125,6.245241,0.021682,2.393104
2.340798,-0.333472,-0.283018,9.463604,-0.234229,0.250681
6.081384,3.067790,0.934412,7.226736,0.258564,0.977705
0.627530,0.044822,0.142610,5.268472,0.425314,0.119515
6.778862,4.561170,1.184545,9.016347,0.266774,0.961420
1.560097,-0.320383,-0.405090,5.540727,-0.467831,0.289420
5.933538,9.055258,1.981466,8.229514,0.299721,1.558211
3.819459,0.046796,0.024503,7.062832,0.012818,0.540837
3.363184,-10.507399,-2.522046,5.046399,-0.332498,2.894646
2.719331,2.520876,1.495089,5.281395,0.632762,0.772016
11.121193,4.193987,0.721250,7.250713,0.118187,1.675327
0.935792,-0.072799,-0.155276,8.775376,-0.319233,0.107068
3.240983,0.922838,0.554798,8.150788,0.314284,0.418784
1.029917,-4.542079,-2.695633,6.916045,-0.697254,0.930684
3.810203,-1.687038,-0.833648,8.050547,-0.370680,0.532900
0.987287,-8.737678,-2.916563,5.260054,-0.424540,2.453335
3.496830,-9.092430,-2.407295,9.543438,-0.365987,1.316379
3.443103,-0.295077,-0.170984,6.013072,-0.098527,0.575403
8.244406,0.907389,0.219240,5.565372,0.052701,1.493310
1.850585,3.560268,2.182887,7.898153,0.724192,0.624919
1.775385,0.269249,0.301020,5.770935,0.322345,0.312338
5.545856,13.587332,2.366544,5.589622,0.247180,3.355502
3.478524,-1.718480,-0.917713,5.602167,-0.428371,0.717478
1.933493,-0.984982,-0.942329,5.782367,-0.696764,0.389519
3.305829,4.848267,1.944701,5.576982,0.512905,1.238303
3.422048,-4.516443,-1.844788,9.313178,-0.512509,0.704116
2.788945,-2.956022,-1.628945,5.304491,-0.621331,0.857901
0.646802,-8.734808,-2.993765,8.685046,-0.427379,1.513714
9.090483,11.132559,1.772069,5.875650,0.212310,2.798135
2.143044,-3.022450,-1.908055,7.550989,-0.722046,0.573852
4.406398,1.040949,0.463965,9.633871,0.200377,0.474218
3.117639,-5.690760,-2.139222,5.780128,-0.495633,1.369134
0.309651,-11.352331,-3.087053,5.564686,-0.338544,3.151241
7.256591,1.186123,0.324044,8.469500,0.087521,0.871971
8.728539,-4.778147,-1.001715,5.461767,-0.190686,1.900361
