deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
3.637120,-0.238097,-0.130740,6.463546,-0.071575,0.564319
1.584244,8.577066,2.776296,6.946272,0.423654,1.772524
1.136271,12.400351,2.958839,5.375732,0.309589,3.441272
3.594831,5.419609,1.970255,7.081234,0.473630,1.085686
3.381934,-2.113572,-1.117141,5.730007,-0.488586,0.733551
11.449528,1.333123,0.231826,6.160870,0.040102,1.875178
3.702257,-2.767585,-1.283850,5.112777,-0.478051,0.969291
11.313912,-7.645646,-1.188562,9.113223,-0.162579,1.590350
12.996287,3.013039,0.455628,8.158480,0.067602,1.649460
3.458959,2.312530,1.178628,5.375894,0.490709,0.820655
9.670579,0.040590,0.008395,5.029305,0.001726,1.922868
9.416517,-7.122661,-1.295170,8.253778,-0.201610,1.535586
9.543367,-7.569934,-1.341179,9.831297,-0.201315,1.336991
5.229376,-0.899346,-0.340627,5.757232,-0.127091,0.926120
0.875908,5.312144,2.814758,5.852259,0.632562,1.312222
2.223989,8.886735,2.651147,9.552307,0.400658,1.310448
6.646160,-1.171498,-0.348949,7.381671,-0.102539,0.918895
2.694587,5.840527,2.277071,8.501815,0.514031,0.948626
7.994491,1.005616,0.250263,9.434414,0.061868,0.856286
3.125716,-3.218349,-1.599997,5.655239,-0.569026,0.884714
5.141879,7.841978,1.980868,7.585144,0.342634,1.464200
13.596976,1.090058,0.159996,9.376835,0.023420,1.456265
6.129302,3.251584,0.975495,9.012166,0.263861,0.801285
1.795754,-0.325408,-0.358529,8.984870,-0.372567,0.204211
0.696799,-4.707339,-2.847679,5.083639,-0.693676,1.347333
2.093414,6.714186,2.537117,7.355177,0.497420,1.270579
7.959530,2.738295,0.662688,5.086780,0.153367,1.685428
5.308461,-7.714589,-1.936194,7.211688,-0.338362,1.525957
2.161968,12.715971,2.804774,6.159632,0.296693,2.978781
2.177073,-2.859104,-1.840011,5.052440,-0.724798,0.822478
0.729776,-0.007902,-0.021655,5.699911,-0.059282,0.128043
5.919267,-3.492712,-1.066155,6.710791,-0.287574,1.074320
4.001627,3.405231,1.410104,8.997781,0.458310,0.635307
9.835805,6.409037,1.155002,5.941543,0.183901,2.090111
3.429740,3.661324,1.636090,6.704869,0.526988,0.838696
0.672084,5.448320,2.896121,6.785911,0.626096,1.180320
6.857084,5.733661,1.392815,6.016812,0.279535,1.612805
7.223459,1.110618,0.305114,6.767870,0.082973,1.084058
5.565135,5.006710,1.465251,6.342063,0.343225,1.292947
3.173606,-1.706959,-0.986951,8.341568,-0.484088,0.450042
1.999597,1.318115,1.165618,5.347003,0.743321,0.474305
2.412985,-0.559962,-0.456052,9.025277,-0.350012,0.276856
8.453999,-9.894248,-1.727465,9.224541,-0.229568,1.602798
8.958399,5.227443,1.056434,5.160617,0.191963,2.106440
2.485370,-4.235302,-2.080245,5.328034,-0.612427,1.111521
2.410625,5.432863,2.306368,7.355697,0.551474,1.019422
1.786202,-5.517756,-2.515447,9.760369,-0.580710,0.785530
5.191859,13.562283,2.410382,5.376503,0.251769,3.485628
2.301449,1.071887,0.871739,9.101177,0.586969,0.287988
7.576971,-2.789337,-0.705474,9.630248,-0.169517,0.856051
7.445720,0.983181,0.262574,5.943567,0.069600,1.267248
5.915669,6.171140,1.613063,8.158879,0.325740,1.170611
9.739362,4.922144,0.935895,7.272415,0.163843,1.556729
12.014112,-1.840115,-0.303963,6.951682,-0.049794,1.755134
3.434450,0.414493,0.240212,5.075237,0.137656,0.683259
5.377619,-13.232324,-2.369569,6.842029,-0.253854,2.669787
7.118073,6.440114,1.470872,8.302573,0.272603,1.267350
10.148718,-5.642066,-1.014783,7.886547,-0.165856,1.537455
3.228179,-0.892738,-0.539605,5.274406,-0.308188,0.642789
13.562447,-2.369740,-0.345964,7.405548,-0.049975,1.868440
9.878944,-1.353887,-0.272398,8.714629,-0.054424,1.147746
2.854380,-9.422342,-2.553294,6.984008,-0.370858,1.880427
9.943591,-1.856517,-0.369159,6.795953,-0.072459,1.496933
6.688692,0.559866,0.167017,6.566964,0.049657,1.023287
6.433866,-1.386293,-0.424447,8.678740,-0.127333,0.764073
4.732719,4.986741,1.623055,5.061429,0.399328,1.519722
1.626663,-0.778616,-0.892858,6.837511,-0.763766,0.272721
3.156623,-1.812668,-1.042530,7.371766,-0.500716,0.516875
0.878382,0.174921,0.393137,5.477092,0.717265,0.164581
3.367910,-6.346295,-2.165800,7.999004,-0.457065,1.101122
5.613982,-2.023397,-0.691856,8.029266,-0.223492,0.758250
0.122176,-5.635066,-3.098237,5.389093,-0.617088,1.620586
2.885680,3.424330,1.741112,8.889444,0.599249,0.573495
4.855205,2.093859,0.814323,6.084696,0.291061,0.893460
2.321617,0.748118,0.623467,8.196756,0.466012,0.302453
6.459933,6.376379,1.557778,9.146729,0.300207,1.100283
0.532399,4.976429,2.928435,6.087369,0.671487,1.210699
5.085939,-3.571808,-1.224523,5.462628,-0.354302,1.212024
3.140994,0.135793,0.086411,8.506660,0.054888,0.369699
3.442134,-4.277916,-1.786479,8.277526,-0.516245,0.760512
12.703923,-6.155450,-0.902393,6.880172,-0.122941,2.123090
9.431331,3.169398,0.648387,6.545801,0.127360,1.546957
7.446134,-8.712669,-1.727237,5.940318,-0.259351,2.191843
4.174034,4.893797,1.729215,9.647107,0.441930,0.757671
2.714852,-1.020421,-0.719060,5.331215,-0.451780,0.555920
3.065584,-4.132408,-1.865077,5.888370,-0.558148,1.014607
6.318933,-1.109831,-0.347725,8.334020,-0.107448,0.773707
1.482036,4.403550,2.492299,5.944097,0.684374,1.027750
1.757729,-0.344225,-0.386775,5.784610,-0.405428,0.311573
6.047296,6.596485,1.657613,6.349429,0.318269,1.584705
3.255817,-3.051646,-1.506079,8.595508,-0.549933,0.571671
0.705078,0.077837,0.219899,6.184235,0.554077,0.114936
5.952431,5.012397,1.399751,7.840658,0.319724,1.078392
2.738752,-0.099449,-0.072592,7.977494,-0.052925,0.343611
7.294266,-4.689641,-1.142766,5.475478,-0.244473,1.673316
5.735066,0.955247,0.330095,6.110453,0.112548,0.955830
2.011415,0.836814,0.788502,8.635930,0.614246,0.258921
2.627286,3.228266,1.775349,7.375439,0.640522,0.645882
2.361056,-5.983120,-2.389874,5.253659,-0.524445,1.572770
0.415153,-10.738641,-3.064312,7.683686,-0.356087,2.144526
1.234645,0.104191,0.168381,8.042214,0.265074,0.154248
8.430867,7.812814,1.494735,9.195343,0.232259,1.374441
1.380281,0.261643,0.374670,8.979574,0.487564,0.157369
2.951631,0.018796,0.012736,8.550722,0.008619,0.345200
12.457652,1.927652,0.307038,6.060726,0.048474,2.088126
0.501390,5.974972,2.974155,8.511113,0.586684,1.051309
5.119868,10.162554,2.208231,5.229449,0.304172,2.690257
2.070445,-0.888535,-0.810764,7.412777,-0.610838,0.312429
3.509331,6.987104,2.210687,5.985465,0.428781,1.615818
3.519560,-0.965568,-0.535511,5.147913,-0.282238,0.717491
9.998771,6.363960,1.133616,6.886533,0.179257,1.816804
9.608851,-1.393872,-0.288113,6.303666,-0.059083,1.545622
3.029767,2.682933,1.449520,5.781691,0.580060,0.765209
1.658216,4.252440,2.397977,7.960387,0.684702,0.737892
4.407946,-8.895837,-2.221500,6.210946,-0.346460,1.981520
0.930508,4.213884,2.706929,7.373277,0.735620,0.811233
0.823109,-4.880812,-2.807453,7.773373,-0.672841,0.906450
8.908933,7.750253,1.431916,7.783575,0.218764,1.654878
5.642733,11.955018,2.259602,6.511456,0.267081,2.536430
4.834579,-2.481386,-0.948395,7.560147,-0.324260,0.746457
6.926893,-10.816061,-2.002361,7.603177,-0.256491,2.008402
2.840913,-0.269507,-0.189167,6.374665,-0.131625,0.448326
10.230740,-0.996220,-0.194138,5.147635,-0.037706,2.000004
12.858013,2.997098,0.458006,6.184220,0.068658,2.153675
1.623390,-0.340912,-0.413984,6.937686,-0.460116,0.240816
5.273392,3.586902,1.194612,7.045072,0.339105,0.961422
1.598026,8.423757,2.766639,5.529143,0.429768,2.183359
2.421907,3.448387,1.917016,7.424539,0.660420,0.664783
6.575928,-0.760183,-0.230180,6.335564,-0.069289,1.047161
3.019971,-0.717625,-0.466599,7.908332,-0.289555,0.396089
9.402440,1.598092,0.336714,6.890441,0.070152,1.390693
6.327853,-5.947108,-1.508780,8.390205,-0.305585,1.140107
10.234088,-4.413402,-0.814297,5.588507,-0.141186,2.050484
4.077179,3.786604,1.496928,6.913763,0.454958,0.885181
1.996351,1.398562,1.222202,8.109798,0.755304,0.320118
1.313156,-0.419404,-0.618293,8.676383,-0.723256,0.161440
10.039468,-0.987486,-0.196090,8.361320,-0.038804,1.208433
4.212375,-2.954656,-1.223360,9.326790,-0.419885,0.587633
3.050387,-1.126795,-0.707693,7.600790,-0.402922,0.436891
7.012404,-5.115757,-1.260542,8.986641,-0.265205,1.032935
0.978045,0.104051,0.211976,6.647549,0.406281,0.148236
13.099247,-3.613262,-0.538289,5.391843,-0.078125,2.550872
3.534451,-7.537943,-2.264693,8.390254,-0.410328,1.240982
1.142814,0.100685,0.175751,7.188118,0.296938,0.159808
6.458161,10.891448,2.071143,6.898649,0.265307,2.209781
6.183238,-5.346074,-1.425827,5.348654,-0.309769,1.665781
2.246452,0.615437,0.534797,5.725348,0.425960,0.411717
6.769387,2.299937,0.655039,5.389929,0.178067,1.350456
2.261947,0.620829,0.535740,7.286808,0.423976,0.325779
3.116052,1.577586,0.937313,7.067665,0.477384,0.512737
13.286940,-0.073027,-0.010992,6.318558,-0.001665,2.102886
1.011419,-7.399526,-2.869902,5.004552,-0.487884,2.161300
1.895519,-0.698030,-0.705685,7.021532,-0.600124,0.293738
10.669033,-1.267021,-0.236407,5.706530,-0.043887,1.887148
8.338961,-10.416243,-1.791412,8.119242,-0.229898,1.885592
2.292634,-0.973631,-0.803196,7.764210,-0.560571,0.329595
2.055816,-6.687452,-2.545103,8.329268,-0.500154,1.118269
4.735325,1.505964,0.615826,5.037328,0.239283,1.002203
1.122761,0.111845,0.198576,5.542673,0.337919,0.203904
2.176073,-1.383827,-1.132839,7.833847,-0.694164,0.347473
6.906936,11.931887,2.092126,9.772500,0.246001,1.705178
3.736797,-2.684070,-1.245780,8.011754,-0.469398,0.613151
3.447453,6.954825,2.221202,7.165156,0.432528,1.342876
11.138009,-2.638590,-0.465223,7.362595,-0.080393,1.568762
0.801080,0.051733,0.128979,5.401506,0.310708,0.148719
1.443841,-0.542526,-0.718859,7.565901,-0.739518,0.208319
2.903874,-1.169564,-0.765767,7.512830,-0.445378,0.427052
6.190787,-5.330798,-1.421789,6.736678,-0.309242,1.321219
1.454985,0.089048,0.122252,9.606784,0.166073,0.151832
4.375537,1.605313,0.703272,7.423153,0.287410,0.640991
7.934759,8.952816,1.691219,9.002506,0.245185,1.501505
7.434875,7.736364,1.610536,9.854802,0.262574,1.216016
13.113549,3.384245,0.505123,5.441458,0.073660,2.515550
5.463992,9.090569,2.059193,5.568736,0.312628,2.287955
2.483121,1.581948,1.134479,9.294019,0.630554,0.334435
4.751167,-12.030842,-2.389362,9.702016,-0.280072,1.712490
2.655109,-0.622434,-0.460541,9.148159,-0.323058,0.300754
1.703253,-0.241779,-0.282018,5.840575,-0.315851,0.295526
2.783990,4.443078,2.022108,6.606875,0.573876,0.946877
4.326725,-2.748275,-1.131781,7.396596,-0.396285,0.731407
5.454465,-0.987440,-0.358187,9.294062,-0.127856,0.599616
6.781348,-0.583186,-0.171575,9.552056,-0.050322,0.713431
2.235222,2.950118,1.844806,8.431587,0.711057,0.508012
1.907335,3.635419,2.175242,5.750240,0.711864,0.876890
1.033117,13.778542,2.991913,7.042282,0.281033,2.943361
1.086585,12.498943,2.968160,5.990207,0.307539,3.120029
2.786517,4.716779,2.074387,9.360363,0.561201,0.705061
7.495054,0.035335,0.009429,9.695538,0.002506,0.773053
1.678453,-0.046314,-0.055172,6.309518,-0.065624,0.266154
11.495760,6.745195,1.061247,5.718898,0.150714,2.443686
1.561236,0.043235,0.055371,5.822626,0.070768,0.268270
3.962832,4.341070,1.661832,8.098642,0.465715,0.816550
2.729701,-6.455829,-2.341535,9.262452,-0.483945,0.961901
3.930441,-0.792646,-0.397999,9.710924,-0.194728,0.415631
3.486821,1.261090,0.694072,5.350831,0.351648,0.707059
4.336211,-1.823845,-0.796289,7.743294,-0.318463,0.623867
2.908896,-0.648304,-0.438571,8.436525,-0.284078,0.356104
6.592978,2.529738,0.732756,9.640620,0.200191,0.749137
4.522996,-3.958312,-1.437833,7.405771,-0.413076,0.885961
5.073244,-0.326150,-0.128400,5.148842,-0.050447,0.988030
5.056247,8.965769,2.114612,8.766589,0.326373,1.425234
2.724008,-0.577373,-0.417732,6.808626,-0.289503,0.411959
1.288105,7.952863,2.820447,9.824804,0.455691,1.171477
10.631040,-0.697859,-0.131099,7.905940,-0.024598,1.348550
4.796373,5.009843,1.614327,9.257234,0.394713,0.837211
6.843335,-2.121378,-0.601197,7.758990,-0.163837,0.937447
9.072023,-2.392219,-0.515646,5.645498,-0.108292,1.680433
10.433391,0.128418,0.024616,6.618485,0.004708,1.576561
2.310810,1.481237,1.140049,6.143492,0.666406,0.471926
12.420409,-6.033490,-0.904401,5.188953,-0.125915,2.754003
0.606647,-6.946388,-2.967369,5.599120,-0.519195,1.854730
1.244766,-0.263788,-0.417656,6.667623,-0.577593,0.192228
3.338378,1.128254,0.651826,8.256044,0.348582,0.434475
2.669872,11.647694,2.690940,9.169921,0.315373,1.798819
7.761031,-5.316666,-1.201239,8.944979,-0.235838,1.117703
3.663699,-2.457692,-1.181748,5.361278,-0.467731,0.872786
2.128086,4.443635,2.248331,9.925438,0.632019,0.618721
2.062612,2.715860,1.842525,6.563895,0.751311,0.601041
4.086674,-2.034134,-0.923689,8.314587,-0.372261,0.569042
4.531516,10.384254,2.318647,8.382979,0.312936,1.709565
2.034220,-9.533004,-2.721125,8.701910,-0.381655,1.558374
1.200662,4.741799,2.645601,5.454021,0.670286,1.223796
0.900608,-0.059065,-0.130980,8.075121,-0.282304,0.111848
4.700793,-1.903671,-0.769564,8.238874,-0.287834,0.631030
5.498497,5.918043,1.644261,8.444892,0.347982,1.073479
0.184005,-4.976427,-3.067676,8.726106,-0.676390,0.875931
4.484171,8.367863,2.157717,5.447008,0.355577,2.133320
2.037366,0.260769,0.254602,8.661908,0.242371,0.237770
0.530383,-8.343032,-3.014620,5.771658,-0.445506,2.187648
9.177642,-2.479174,-0.527670,5.222099,-0.109301,1.841748
8.507575,-0.454210,-0.106676,5.235069,-0.025035,1.628199
6.208897,-6.416468,-1.603675,8.289223,-0.311476,1.201854
1.040740,-0.235677,-0.445391,8.283765,-0.691529,0.129888
3.166452,-0.955536,-0.586157,5.266982,-0.336141,0.637047
0.291319,8.246985,3.070973,5.770391,0.451097,2.197241
2.402624,-1.596705,-1.173096,6.954668,-0.654590,0.439576
4.607525,-2.506967,-0.996609,9.831446,-0.349510,0.556269
14.490995,3.568130,0.482856,7.170367,0.063985,2.101677
7.931304,1.615284,0.401823,8.948415,0.098293,0.910645
2.765423,-0.878086,-0.614909,5.411463,-0.395266,0.544715
2.674895,-2.481254,-1.495721,7.463520,-0.640681,0.537575
1.411167,0.048022,0.068033,9.257007,0.096040,0.152561
2.308157,-1.905661,-1.380338,8.594080,-0.704982,0.377552
7.767266,-11.171189,-1.926471,9.187456,-0.236855,1.737420
4.292415,-13.926678,-2.543639,5.935693,-0.256532,3.267491
6.141290,-1.728633,-0.548756,9.201040,-0.168279,0.702170
5.601515,4.061672,1.254751,7.604883,0.327157,0.972369
4.285993,-6.924778,-2.033139,7.921094,-0.395634,1.229152
4.538751,0.379030,0.166633,5.118465,0.072948,0.890857
7.991756,-1.288306,-0.319659,8.587157,-0.078490,0.946704
14.335781,-1.090384,-0.151828,5.912089,-0.021107,2.434166
3.914856,4.388984,1.684867,8.410304,0.469663,0.789408
9.629478,2.885563,0.582288,8.204933,0.113717,1.242662
4.056255,1.305646,0.622823,9.282049,0.280051,0.466586
2.669412,-1.683797,-1.125482,6.349783,-0.594556,0.524276
4.612157,-8.815555,-2.177548,5.728434,-0.342228,2.134155
7.771811,-10.214710,-1.840781,7.784756,-0.243123,1.906794
9.355098,0.483614,0.103299,9.071716,0.022031,1.033074
3.163932,1.781505,1.025640,5.023708,0.495507,0.755454
4.317817,-2.491309,-1.046647,8.158136,-0.381389,0.639854
6.885847,7.286032,1.627257,8.177889,0.282236,1.372350
7.312737,-6.204830,-1.407241,8.719585,-0.263578,1.196155
4.325004,1.522407,0.676913,6.460029,0.281934,0.723503
6.918574,-2.396216,-0.666831,5.475486,-0.176934,1.362294
2.145153,-0.210411,-0.195548,5.538082,-0.179223,0.389825
10.027334,-5.383945,-0.985502,9.554966,-0.164759,1.240745
6.876048,8.880823,1.823900,8.269509,0.274480,1.566470
9.935935,5.208083,0.965587,5.678509,0.164039,2.054431
1.700383,0.910211,0.982971,5.197852,0.774664,0.386423
7.965901,12.177922,1.983051,7.682029,0.226092,2.244364
8.888091,-0.835527,-0.187460,5.854295,-0.041921,1.527146
11.943634,0.041219,0.006902,6.737712,0.001146,1.772668
7.654683,6.615187,1.425362,7.742791,0.252971,1.424177
5.593298,1.286087,0.452011,6.744076,0.154916,0.858294
4.379444,0.718947,0.325425,5.952619,0.144971,0.748865
4.497831,1.074211,0.468874,7.681258,0.198283,0.607578
9.190541,-0.625399,-0.135887,5.142549,-0.029482,1.792669
6.425996,-7.548440,-1.731095,7.445326,-0.298101,1.513496
2.815617,-1.283845,-0.855620,8.474701,-0.492257,0.376527
14.302425,-4.234753,-0.575725,9.296577,-0.075996,1.626856
5.839066,-3.761888,-1.144662,7.857350,-0.302338,0.934181
4.371073,10.196435,2.331615,9.929756,0.319993,1.417114
0.731697,-5.341394,-2.869315,6.239149,-0.633890,1.251272
9.147583,-5.216854,-1.036588,7.465704,-0.186010,1.475720
11.212821,-0.971038,-0.172770,6.426033,-0.030664,1.753617
1.367602,-7.479322,-2.779886,8.158324,-0.477564,1.316865
4.880701,4.695955,1.532219,8.379202,0.388635,0.893148
4.986333,3.194510,1.139553,5.361902,0.349413,1.166534
4.196065,-3.760210,-1.461343,5.357816,-0.442466,1.151366
3.989514,12.478597,2.522716,5.582883,0.283006,3.107501
1.505151,0.336754,0.440218,8.537216,0.515215,0.182131
2.492233,0.052444,0.042079,9.212200,0.033736,0.270616
0.506302,-10.729753,-3.047289,6.145106,-0.356119,2.666306
2.654411,-3.839118,-1.931715,5.421756,-0.614030,1.010866
1.677026,-11.900878,-2.861604,7.381217,-0.318366,2.352719
2.062452,1.078619,0.963723,5.867201,0.672563,0.412470
2.031466,-2.815887,-1.891664,6.020449,-0.751436,0.672629
2.323985,0.675914,0.566069,9.718637,0.432408,0.252391
6.011141,-5.086457,-1.404535,9.685380,-0.317068,0.883900
1.227540,0.278150,0.445657,5.444466,0.612258,0.233105
0.202623,9.905460,3.100687,5.157791,0.383638,2.978657
4.682332,8.753671,2.159241,5.521967,0.341374,2.201142
3.350616,-4.155424,-1.784423,8.825621,-0.528087,0.693207
3.551849,3.318776,1.502976,6.386240,0.511842,0.837840
2.798873,-2.408074,-1.420970,8.805363,-0.615130,0.456787
5.631991,-2.646123,-0.878456,5.237148,-0.266842,1.227256
13.050811,-6.860223,-0.967921,5.590821,-0.125577,2.743015
7.328720,-3.548763,-0.901899,8.397553,-0.210917,1.003314
3.993773,10.843946,2.435834,9.605487,0.314051,1.561445
1.408567,-3.557525,-2.387589,6.862204,-0.771209,0.715913
0.923829,-0.030122,-0.065189,6.056752,-0.140114,0.152637
