deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
4.512906,-0.899511,-0.393483,6.792604,-0.168318,0.681844
6.719052,-0.081962,-0.024396,6.664809,-0.007271,1.008239
10.924763,0.953822,0.174175,7.769472,0.031705,1.413249
6.774109,0.688433,0.202559,8.065450,0.059316,0.845663
4.969803,-4.750000,-1.525576,6.556002,-0.382256,1.157652
1.435073,-4.233434,-2.487935,7.989541,-0.703036,0.734886
1.106553,-5.520732,-2.745963,6.944227,-0.608422,1.135386
1.370314,0.267836,0.386045,9.569523,0.502487,0.146815
0.975519,-10.894084,-2.962978,8.395356,-0.349324,1.937842
2.344965,1.006842,0.811121,5.511580,0.553827,0.475962
5.867879,-8.229621,-1.902772,5.047677,-0.311734,2.339702
5.888826,-5.256152,-1.457383,8.873983,-0.325456,0.973381
2.155344,3.076770,1.919441,6.961212,0.717175,0.632345
6.597421,-1.018004,-0.306192,9.852022,-0.091135,0.680231
2.338321,-0.348971,-0.296293,5.494933,-0.244736,0.431832
2.371533,0.326862,0.273929,5.428731,0.224287,0.442360
2.621045,1.173990,0.842228,6.822435,0.517558,0.433662
9.042074,-6.853934,-1.297209,5.292977,-0.209837,2.301645
0.739672,-5.487911,-2.873643,7.971644,-0.621308,1.007119
6.043791,13.284066,2.287642,6.973741,0.244473,2.629833
13.802047,3.027910,0.431920,9.631151,0.060576,1.478610
3.132595,-2.392393,-1.304436,6.913224,-0.552063,0.612686
5.229377,3.834937,1.265513,5.246147,0.349762,1.322623
10.932375,2.776350,0.497398,9.192222,0.087059,1.239801
2.911275,-4.806984,-2.052488,5.523721,-0.546885,1.220659
1.254034,-0.094200,-0.149954,9.369694,-0.233908,0.134342
2.153754,0.545553,0.496170,7.970860,0.416235,0.281617
1.985782,1.099798,1.011567,6.502769,0.706648,0.364422
4.986770,3.297929,1.168606,9.036111,0.353542,0.700843
2.489487,-2.389654,-1.529880,8.183191,-0.676399,0.465809
3.250917,-0.355007,-0.217542,5.348364,-0.132019,0.612655
9.829747,3.392787,0.664704,6.238975,0.124839,1.697832
7.155187,3.116569,0.821575,5.449083,0.201870,1.473342
3.703741,-10.708492,-2.475612,6.841913,-0.322023,2.169083
6.594339,-8.664146,-1.840450,7.461968,-0.284416,1.687432
0.500683,5.112507,2.946349,6.970676,0.659277,1.090834
9.407048,-9.691020,-1.600532,6.045545,-0.209407,2.491577
1.018668,0.117503,0.229685,8.338863,0.420343,0.123240
5.640024,9.228268,2.044411,5.193736,0.305674,2.494684
2.187097,-0.250236,-0.227839,5.917892,-0.203696,0.372791
2.576569,-0.620712,-0.472804,6.700165,-0.339783,0.399263
1.387918,-3.891172,-2.456359,9.120165,-0.739387,0.590676
2.447043,-2.413435,-1.556967,5.628410,-0.685172,0.676982
0.297570,-7.217756,-3.059184,8.936536,-0.505344,1.237503
1.266559,0.173586,0.272409,5.568474,0.401738,0.230289
3.469291,0.121712,0.070136,8.049350,0.040368,0.431356
3.334726,4.080000,1.771149,9.728979,0.531355,0.619475
8.020687,-6.506899,-1.363144,5.113998,-0.239332,2.184862
9.329589,5.688690,1.095111,7.837114,0.188304,1.466469
4.081770,-4.119260,-1.579939,6.123962,-0.455596,1.053112
2.422456,-2.212170,-1.480113,9.847358,-0.688151,0.365611
2.653415,-0.924973,-0.670849,9.227061,-0.438197,0.310327
11.799004,1.627199,0.274091,5.266018,0.045838,2.268895
1.649160,-0.568192,-0.663595,6.119343,-0.641582,0.290344
9.809063,-10.023639,-1.592434,5.801628,-0.201100,2.693028
9.156108,2.837874,0.601108,9.385458,0.122904,1.036888
3.760647,1.823536,0.902989,5.032320,0.395557,0.859423
9.040403,4.775925,0.972040,5.427969,0.180739,1.959905
6.714055,-0.045625,-0.013591,9.931970,-0.004058,0.676025
5.143039,5.871472,1.702872,7.352104,0.367924,1.201681
8.370832,3.009907,0.690351,8.957165,0.150981,1.013117
2.356490,-0.341477,-0.287815,5.731992,-0.236421,0.416843
2.308513,-6.190857,-2.427752,5.980889,-0.515993,1.431203
1.166055,-0.341776,-0.570238,8.179135,-0.746958,0.150594
1.850010,10.609929,2.796332,6.063480,0.350742,2.520906
1.599466,-0.511613,-0.619161,7.570091,-0.627765,0.225417
2.737726,4.033044,1.948849,6.966466,0.596446,0.824062
2.097812,1.794596,1.415312,5.928692,0.755464,0.506910
1.585207,0.366343,0.454228,9.157139,0.505577,0.179211
1.089353,-0.072999,-0.133823,5.629296,-0.240239,0.194094
1.902808,-0.361873,-0.375868,9.311675,-0.368242,0.209239
5.742150,0.730415,0.253046,7.606742,0.086969,0.762993
9.196063,9.682430,1.622311,8.476995,0.213864,1.762263
5.164157,1.012977,0.387392,7.162342,0.145266,0.739370
14.412640,-3.130017,-0.427702,6.460433,-0.057504,2.300406
2.067055,2.255640,1.657994,7.467615,0.767000,0.460687
1.913612,-8.384402,-2.692810,8.206627,-0.425734,1.447226
1.420053,-0.220808,-0.308515,5.908091,-0.404125,0.244213
3.884179,2.297719,1.068379,7.518079,0.423906,0.629803
1.355878,0.228435,0.333820,7.165143,0.450197,0.192793
6.405559,0.096595,0.030157,8.774493,0.009404,0.730131
0.692693,-0.000590,-0.001702,6.814756,-0.004925,0.101646
1.335177,5.275180,2.645794,9.091274,0.619133,0.816781
7.654874,1.948021,0.498384,5.400309,0.124236,1.477915
1.619497,3.936648,2.361019,7.830917,0.715422,0.693886
2.094607,-1.896289,-1.471493,9.027163,-0.759841,0.343126
7.952399,-1.033767,-0.258539,9.951775,-0.064221,0.808066
4.347025,-2.053083,-0.882480,8.386619,-0.341426,0.592263
9.317072,5.071330,0.996921,7.748226,0.178346,1.427448
5.906786,6.711515,1.698173,9.061870,0.324004,1.115959
2.014770,-0.232612,-0.229889,5.038637,-0.222466,0.403408
8.361030,-3.984683,-0.889470,6.117684,-0.183715,1.565055
1.051172,-9.222006,-2.914602,7.838231,-0.404573,1.736852
6.158972,7.388277,1.751785,6.489790,0.309172,1.690093
3.111458,11.533261,2.614577,9.453382,0.312677,1.710991
4.790027,-1.323327,-0.539088,5.003051,-0.211158,1.005417
2.646626,14.493640,2.780361,7.139674,0.260976,2.916188
3.948493,-2.687627,-1.195272,5.881517,-0.440374,0.862538
2.390547,-9.890291,-2.667277,7.667318,-0.365002,1.820801
7.640464,0.205455,0.053768,9.917344,0.014057,0.770786
11.949943,-4.087664,-0.659178,5.882674,-0.102159,2.186306
3.203699,-7.723845,-2.355227,8.258430,-0.416073,1.290869
2.457374,-1.874426,-1.303256,9.209825,-0.665489,0.360563
3.957601,3.276035,1.382908,5.302291,0.460804,1.050686
9.551676,-3.419010,-0.687477,8.214291,-0.132111,1.259723
2.513526,-4.084170,-2.038215,6.700711,-0.617645,0.856427
5.832410,7.770130,1.853798,8.731154,0.318080,1.289637
7.055001,-9.113819,-1.824098,9.152250,-0.267856,1.452452
1.223471,-6.314387,-2.758817,5.122349,-0.548152,1.764253
6.727125,4.272980,1.131782,8.605224,0.262873,0.977461
6.893162,8.517622,1.780842,7.939350,0.276487,1.580922
0.977193,-0.096020,-0.195893,6.935468,-0.379112,0.141803
8.852382,-7.582351,-1.416548,8.638496,-0.219654,1.469063
11.680786,2.100110,0.355783,7.593710,0.059560,1.571156
3.552242,4.754644,1.858295,8.455766,0.495058,0.814077
2.641819,-3.647145,-1.887825,6.217945,-0.623590,0.844148
2.932909,5.363016,2.140708,9.167534,0.521177,0.813426
3.173624,-1.591317,-0.929565,9.226301,-0.467660,0.399007
6.383030,-3.285071,-0.950609,9.463220,-0.249669,0.787931
5.257638,-0.749379,-0.283156,7.295171,-0.105891,0.730423
5.018934,-4.194388,-1.392282,5.839675,-0.373738,1.215926
7.048154,-8.047580,-1.703015,6.477173,-0.274210,1.869458
4.914506,-5.550426,-1.692181,8.048171,-0.383929,1.040966
3.157441,-1.108729,-0.675394,7.001169,-0.377081,0.487191
2.548751,1.816862,1.238589,6.609326,0.638219,0.505262
2.170235,12.754984,2.804525,8.392012,0.295826,2.192994
5.429985,-3.142358,-1.049228,9.852127,-0.309125,0.666960
1.343503,0.426711,0.615069,7.838737,0.709669,0.182696
10.124142,-0.292036,-0.057675,9.098193,-0.011397,1.113381
4.501145,0.053881,0.023940,8.306786,0.010626,0.541915
1.384170,-0.521018,-0.720016,5.782606,-0.761226,0.261373
2.958662,-2.769681,-1.504839,6.365175,-0.593424,0.701004
8.170162,-7.421952,-1.474897,5.363668,-0.239021,2.256995
2.337989,0.481454,0.406175,6.327382,0.325918,0.379862
1.280356,4.582319,2.596666,8.084968,0.680621,0.793306
2.201793,1.069176,0.904112,8.136196,0.619952,0.311331
7.104421,4.621919,1.153551,8.314276,0.251887,1.078191
3.324071,-2.588174,-1.323130,8.959121,-0.528069,0.506367
0.060032,5.053987,3.117838,9.675621,0.669430,0.814404
2.163336,-9.519168,-2.694662,6.409682,-0.380144,2.104297
3.551322,4.442760,1.792903,7.306694,0.502324,0.893362
0.906301,4.798322,2.768234,5.056103,0.677717,1.360410
7.901052,-10.786238,-1.877163,5.064761,-0.236825,3.071402
3.355621,4.146556,1.780875,6.550201,0.527749,0.932838
2.815293,0.154242,0.109465,9.816720,0.077444,0.287359
0.588210,7.091033,2.976069,7.612793,0.510659,1.395586
5.803283,4.777830,1.377573,8.128626,0.326131,1.002142
5.424645,5.557299,1.594954,5.966133,0.353120,1.450618
8.013549,3.560416,0.836207,7.821570,0.183128,1.154460
5.520906,-2.258058,-0.776484,7.453944,-0.248621,0.820688
0.405998,10.566008,3.064781,5.712720,0.361401,2.838430
4.263693,0.607380,0.283004,6.563334,0.130234,0.658376
0.557738,-13.630091,-3.059799,6.082631,-0.285012,3.433972
6.142518,1.768563,0.560678,8.309324,0.171431,0.779432
1.906121,-9.843121,-2.759028,6.308184,-0.373329,2.233278
0.452960,-5.321911,-2.971777,8.174207,-0.641077,0.974413
1.921211,-3.234657,-2.069681,7.330167,-0.740576,0.617749
1.967436,1.472664,1.285106,7.127072,0.772909,0.369742
11.274883,-6.051375,-0.985169,9.525764,-0.146774,1.399225
12.033603,-1.103810,-0.182943,5.183604,-0.030237,2.334474
13.193920,-5.851256,-0.834839,5.988517,-0.111894,2.481582
3.795545,-14.391897,-2.625879,9.019668,-0.254247,2.240652
3.237605,-1.120554,-0.666403,6.519131,-0.364785,0.535388
0.207770,4.486093,3.049030,5.211407,0.727105,1.315151
2.199772,1.980439,1.465954,8.155668,0.735117,0.397585
6.145328,-1.172614,-0.377095,5.991288,-0.119279,1.050430
1.224595,4.138913,2.566259,8.914598,0.726496,0.647889
5.412240,-6.055149,-1.682807,6.371742,-0.351940,1.438412
2.866248,-1.755927,-1.099298,6.708101,-0.556190,0.527237
5.693071,-1.765002,-0.601260,6.688653,-0.196181,0.904686
1.776478,-4.339448,-2.364462,6.807478,-0.668296,0.879916
10.080791,1.393201,0.274667,5.430325,0.053749,1.879937
1.791168,0.351222,0.387258,7.436752,0.399046,0.246981
4.642732,-2.994180,-1.145588,6.827686,-0.373966,0.855131
2.879178,1.805674,1.120287,5.852095,0.558830,0.612259
6.862090,-1.763991,-0.503230,6.775038,-0.139652,1.056896
5.227054,-0.203416,-0.077793,6.514660,-0.029737,0.803162
9.879719,1.311907,0.264031,8.608944,0.052771,1.161054
2.140471,-1.277365,-1.076080,5.299271,-0.688228,0.493860
9.594882,5.874754,1.098800,8.746444,0.183554,1.353361
3.796827,3.214222,1.404981,6.007236,0.479140,0.900357
0.411834,9.674416,3.056505,5.854427,0.391408,2.530008
6.913462,4.533600,1.160833,9.739829,0.259334,0.898422
11.854446,4.625631,0.744063,6.095488,0.113763,2.136547
7.667946,10.233952,1.855531,8.349108,0.245274,1.775642
3.204380,0.663061,0.408087,8.425393,0.242798,0.391089
2.596739,0.265551,0.203818,8.879250,0.154640,0.294485
2.049619,3.052495,1.958969,9.318941,0.734567,0.465490
6.348620,0.424051,0.133390,6.477119,0.041863,0.983074
1.086157,-7.602320,-2.857770,5.095022,-0.476083,2.175570
9.621236,-10.363562,-1.645051,6.699541,-0.204415,2.368992
4.781675,10.303356,2.272576,5.901965,0.309172,2.410916
0.998574,-7.413657,-2.873817,8.732710,-0.487314,1.241998
8.219862,3.067569,0.714366,8.045361,0.158064,1.114055
4.245836,3.421453,1.356580,5.767818,0.431362,1.021972
9.567506,-8.722579,-1.478470,5.512285,-0.205230,2.577112
6.647656,10.671797,2.027391,9.740517,0.263737,1.541562
2.857970,-5.325292,-2.156476,6.114100,-0.527960,1.209621
0.995459,-0.066007,-0.132423,5.290728,-0.259314,0.188703
1.306642,-0.249586,-0.377480,5.794839,-0.513662,0.230929
5.543611,0.854628,0.305921,8.762641,0.108221,0.642618
10.837434,-0.095878,-0.017693,5.804781,-0.003275,1.867082
6.082358,3.871009,1.133556,9.679182,0.289506,0.786294
7.076594,7.112138,1.575806,5.557639,0.275425,2.006514
1.405881,0.093275,0.132498,6.698529,0.185763,0.210494
4.760208,-4.777276,-1.574376,7.599431,-0.397763,0.986179
3.091899,-1.397605,-0.849068,9.119423,-0.452046,0.383490
2.557542,3.787950,1.953848,5.766260,0.627513,0.934313
11.644086,-3.810182,-0.632478,5.330090,-0.101199,2.337341
8.581740,4.052895,0.882437,7.553076,0.178068,1.298240
2.989819,2.735334,1.481954,5.202995,0.587738,0.854953
2.143379,-1.185771,-1.010632,8.885326,-0.668930,0.287772
7.987979,5.678360,1.235959,6.841297,0.232196,1.527979
8.433052,-3.472409,-0.781209,6.380446,-0.165478,1.466368
0.241722,-6.225419,-3.063975,5.256177,-0.570429,1.817223
0.547190,-8.118588,-3.006997,6.966731,-0.456003,1.760041
3.084097,-0.203406,-0.131715,8.468623,-0.084974,0.365234
4.995880,-4.541836,-1.475658,9.542627,-0.379239,0.776065
1.219129,0.155267,0.253355,6.111173,0.390114,0.201642
2.539977,-5.962757,-2.336202,7.506939,-0.516417,1.096179
2.499619,-2.301410,-1.488274,8.000217,-0.673163,0.466590
4.799592,1.424518,0.577037,6.555993,0.223520,0.774356
4.812901,0.512369,0.212116,7.027945,0.087253,0.689986
6.157336,0.280609,0.091083,5.688829,0.029526,1.083854
2.025779,-1.130944,-1.018350,6.320868,-0.698911,0.383406
2.412191,-0.199151,-0.164747,9.655016,-0.135159,0.250972
8.026778,-1.207152,-0.298544,5.343015,-0.073166,1.524844
0.836293,-0.040998,-0.097969,7.014280,-0.229796,0.119418
1.193005,-6.850490,-2.796753,7.714887,-0.515594,1.279357
11.668363,2.866710,0.481822,6.815681,0.079251,1.780067
0.414717,4.818549,2.969882,5.048696,0.689208,1.427747
3.285932,-9.323337,-2.463896,7.730693,-0.364578,1.670301
5.183664,-10.516543,-2.225681,8.834234,-0.296969,1.646617
3.419338,2.195896,1.141744,7.094797,0.488825,0.605110
3.442811,-3.745110,-1.654860,6.679053,-0.524747,0.856044
2.272163,-9.097978,-2.652118,5.744139,-0.392395,2.231307
3.456589,-0.034776,-0.020121,6.569133,-0.011651,0.526222
5.416097,5.958528,1.666100,6.240598,0.352252,1.452568
6.909139,-4.857422,-1.225531,8.404851,-0.265947,1.070619
1.990041,0.132303,0.132770,8.399353,0.132256,0.237625
1.861366,7.950402,2.681633,5.852908,0.445048,1.921154
11.017559,-6.813461,-1.107705,8.395796,-0.161013,1.624733
5.924008,-1.193780,-0.397705,7.192747,-0.130030,0.845727
7.549333,1.927960,0.500074,8.400074,0.126342,0.937302
4.198562,1.761012,0.794290,5.153824,0.327562,0.907063
5.285025,-3.221445,-1.094812,9.521848,-0.324484,0.683661
1.133115,-0.032678,-0.057662,8.668799,-0.101381,0.130784
3.353445,0.633182,0.373237,5.982395,0.214122,0.573782
8.589504,9.125652,1.631308,9.503563,0.228352,1.477111
6.084761,-2.458902,-0.768086,5.036123,-0.224521,1.335741
2.420383,-6.588638,-2.437486,5.893188,-0.491200,1.546446
5.265348,3.216930,1.096882,8.673177,0.325916,0.748380
1.987022,-0.285972,-0.285877,5.627467,-0.276577,0.357949
5.811770,-2.274264,-0.746003,5.825779,-0.229460,1.096507
3.202225,-3.806122,-1.742708,5.487050,-0.551647,1.032255
0.781326,5.930160,2.879592,7.078244,0.585456,1.227203
2.038540,0.534436,0.512792,7.252419,0.448596,0.293792
5.008655,3.740225,1.282839,6.445317,0.365640,1.039703
1.132712,-0.067642,-0.119292,6.742374,-0.207129,0.168398
8.846079,-7.457809,-1.400907,5.645031,-0.219262,2.227366
1.754206,0.820763,0.875251,7.575481,0.718975,0.264003
12.248878,7.364567,1.082668,9.927852,0.143214,1.512416
13.667450,3.021272,0.435115,8.144529,0.061593,1.732259
7.182763,-9.138011,-1.809262,6.870058,-0.264248,1.946703
2.338625,-1.157168,-0.918969,5.987882,-0.597096,0.451475
9.069929,1.089556,0.239111,8.464293,0.052168,1.081831
8.664615,8.732603,1.578612,8.342279,0.226834,1.639658
3.224509,-0.262422,-0.162409,7.838055,-0.099968,0.413206
11.852866,-1.773315,-0.297018,8.445294,-0.049354,1.424338
0.644413,5.134529,2.891887,6.908541,0.654256,1.091574
9.424552,-7.214296,-1.306668,8.966940,-0.202067,1.422690
8.253333,1.859976,0.443315,7.313780,0.103561,1.166291
6.120259,0.107145,0.035010,7.241034,0.011428,0.845392
6.886103,-5.467763,-1.342179,5.948432,-0.275690,1.595258
0.358627,-13.000950,-3.086437,6.452380,-0.298275,3.111809
14.135375,4.829488,0.658451,9.051248,0.086351,1.680534
1.895599,-0.269994,-0.282961,6.022358,-0.286484,0.319000
4.593450,1.571053,0.659097,8.727441,0.260569,0.566453
6.692931,5.914990,1.447548,6.709978,0.288284,1.454906
9.887257,3.806676,0.735032,6.685516,0.134819,1.620976
5.324196,0.365738,0.137172,6.724380,0.051311,0.794263
6.538900,10.547975,2.031717,5.307487,0.267373,2.794755
0.936006,0.056098,0.119724,5.137881,0.249864,0.182613
8.872305,10.918365,1.776834,8.916306,0.217163,1.806270
4.836457,-0.624185,-0.256698,5.821973,-0.104616,0.839919
3.484495,-4.431030,-1.808825,8.530168,-0.508813,0.760326
0.137715,-6.127172,-3.096648,8.136635,-0.578141,1.166531
6.362761,4.331157,1.195316,6.194313,0.284488,1.319767
2.457769,3.889591,2.014524,7.261181,0.633783,0.754993
1.004251,5.677854,2.791471,7.852770,0.599298,1.040741
3.304583,0.510661,0.306637,7.754853,0.180686,0.432883
0.348186,-9.619652,-3.069234,5.349179,-0.393612,2.763381
3.074229,-8.019306,-2.409445,9.871958,-0.410224,1.122454
4.958759,4.384754,1.448084,9.161179,0.380750,0.789757
7.070530,5.267191,1.280522,5.697624,0.264662,1.658459
6.652943,1.636296,0.482328,5.287852,0.138537,1.308296
1.504507,-0.631227,-0.794503,7.421952,-0.758986,0.225719
7.423882,0.248250,0.066854,6.203567,0.017985,1.197604
2.117421,-0.192927,-0.181726,6.608569,-0.169086,0.322176
2.703849,2.325777,1.420741,8.189075,0.631464,0.474428
7.991626,4.753876,1.073259,8.787470,0.216464,1.110722
3.548660,-7.113073,-2.216070,7.857584,-0.423092,1.252700
5.520273,1.753581,0.615162,6.821521,0.206101,0.862630
5.989139,-1.622487,-0.529110,8.821619,-0.167000,0.711660
2.345500,-0.669835,-0.556357,6.904171,-0.423118,0.357902
2.545724,0.579303,0.447498,6.820094,0.327685,0.386024
7.278503,10.196789,1.901733,5.435782,0.254238,2.692516
5.319475,-0.087245,-0.032799,5.358749,-0.012339,0.992849
2.621679,-0.768641,-0.570389,7.916434,-0.390749,0.349832
4.955815,9.565242,2.185537,5.018992,0.318451,2.641653
5.217259,2.912633,1.018339,6.035978,0.315412,1.034038
13.347029,-2.743676,-0.405481,7.369389,-0.059050,1.861743
5.114780,3.122496,1.096187,7.163473,0.334707,0.879946
8.688352,-11.293969,-1.830125,6.687075,-0.218940,2.460097
3.024813,0.566154,0.370058,5.175084,0.234717,0.598052
2.662025,0.278587,0.208545,7.767346,0.154302,0.345217
2.002527,-10.089276,-2.749724,9.657376,-0.364410,1.492933
0.772091,5.596132,2.867386,9.243041,0.611673,0.884542
2.022908,-1.248341,-1.105800,6.738314,-0.723747,0.371407
7.497448,10.692166,1.918518,8.245889,0.245714,1.855428
2.174692,-1.188945,-1.000641,6.414914,-0.658817,0.402965
2.153138,1.052715,0.909491,6.477017,0.632562,0.383101
4.193423,-2.531060,-1.086093,7.558559,-0.399337,0.680997
0.164479,-4.698131,-3.071602,5.167719,-0.704713,1.397955
7.860308,10.518938,1.858111,5.362467,0.239326,2.840039
5.633027,9.419036,2.063628,8.407074,0.303145,1.569474
4.105403,-0.383863,-0.186462,8.780011,-0.090078,0.470306
11.160874,-8.949244,-1.351725,9.764905,-0.173173,1.582794
13.237827,4.628715,0.672741,8.723175,0.093857,1.638362
11.506987,0.659977,0.114583,6.409526,0.019859,1.799229
4.321682,-12.105084,-2.455774,7.912987,-0.285109,2.117807
4.156837,-6.447654,-1.996304,7.410834,-0.413035,1.229379
2.743235,-2.985487,-1.655320,6.700555,-0.628277,0.680123
1.092085,0.168096,0.305447,9.116715,0.503391,0.121672
13.571926,0.568286,0.083695,5.245074,0.012309,2.590580
