deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
1.599424,-0.607664,-0.726166,5.956079,-0.692961,0.293674
2.697880,4.183620,1.996076,5.252668,0.593938,1.125480
2.996180,3.933676,1.839731,7.313387,0.571798,0.781811
6.110264,-4.434862,-1.255672,7.257436,-0.301710,1.111944
2.292136,-1.743294,-1.300443,5.447219,-0.699171,0.567840
5.425419,-0.382536,-0.140783,6.893733,-0.051690,0.789613
0.990434,-0.083296,-0.167805,5.688694,-0.325294,0.174926
4.731375,-0.559984,-0.235615,5.468699,-0.098369,0.873231
8.033341,7.805083,1.541975,5.567991,0.243895,2.225643
5.292743,3.381899,1.137163,7.221817,0.330327,0.918410
4.553258,2.081595,0.857595,5.848646,0.320710,0.882819
1.643707,-0.026948,-0.032787,6.306349,-0.039876,0.260690
1.314973,-0.309744,-0.462669,9.404552,-0.596403,0.144939
3.075546,-1.210502,-0.749936,9.706437,-0.417222,0.348628
5.378736,7.345878,1.877555,9.515986,0.340647,1.113221
10.485881,-1.548396,-0.293211,6.904806,-0.055081,1.540615
0.741236,0.018563,0.050077,5.488260,0.134238,0.135115
0.329899,-12.177588,-3.087424,6.289871,-0.317162,2.990918
3.855325,-2.038335,-0.972696,9.511036,-0.405018,0.477108
5.014917,3.690232,1.268768,9.846369,0.363799,0.676842
2.439229,-5.365618,-2.288241,6.591291,-0.553421,1.123848
6.518928,-5.494857,-1.400725,6.775408,-0.293642,1.367429
3.728154,-13.904047,-2.617648,6.115411,-0.262220,3.189698
3.211956,1.799342,1.021283,6.764694,0.488131,0.568632
5.105743,0.706095,0.274845,9.618244,0.105903,0.537582
3.699802,-5.171252,-1.899545,9.316025,-0.472911,0.797079
10.673229,-2.376981,-0.438258,9.788091,-0.079362,1.126135
2.965429,-0.725770,-0.480051,8.337427,-0.301958,0.369714
6.173275,1.441058,0.458656,5.290401,0.142457,1.208821
5.687129,-3.989437,-1.223444,8.912650,-0.319360,0.830260
1.922326,-0.828690,-0.814031,6.316759,-0.647619,0.340724
0.997974,12.679618,2.984503,6.243337,0.303808,3.049393
1.376627,5.098613,2.614169,7.658869,0.631364,0.933577
0.379685,-7.078871,-3.034423,9.287622,-0.513114,1.159720
13.004106,-0.928831,-0.142610,8.695894,-0.021865,1.500512
8.002153,1.795942,0.441548,5.915148,0.106393,1.397803
2.418068,-1.139283,-0.880612,5.181537,-0.567765,0.532927
3.903696,1.732186,0.835255,7.502295,0.363032,0.586150
