deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
13.665151,2.253021,0.326807,5.137308,0.046939,2.707929
12.652627,3.155421,0.488806,8.621389,0.074079,1.527699
8.787501,11.010495,1.794427,5.804745,0.218379,2.785861
3.140146,-9.437965,-2.499206,9.077548,-0.364537,1.443039
5.100252,7.437576,1.939409,5.472668,0.350668,1.937582
7.835674,-6.942826,-1.450112,6.594535,-0.248173,1.735658
9.251287,-10.988841,-1.742070,9.924896,-0.209896,1.647947
3.411254,9.365236,2.442973,7.339900,0.360585,1.765317
11.731447,3.270436,0.543745,5.381238,0.087960,2.291315
5.473009,2.707263,0.918729,5.267688,0.282667,1.200933
1.134591,-5.643030,-2.744762,7.709088,-0.598073,1.045189
0.878637,12.515800,3.001418,7.063498,0.307904,2.672209
9.426625,-4.183054,-0.835287,9.582808,-0.156049,1.108139
12.865196,-4.152652,-0.624449,5.409624,-0.090650,2.540096
7.385488,1.201477,0.322536,5.395852,0.085617,1.392757
4.265303,8.933487,2.250700,6.394844,0.349640,1.930468
5.998250,3.376748,1.025471,6.629982,0.277693,1.085152
13.962876,0.768251,0.109931,6.655872,0.015703,2.102060
3.674957,-8.381651,-2.315173,6.079991,-0.380760,1.902585
6.711428,6.939169,1.604161,5.242944,0.289458,2.054609
8.792207,8.842214,1.576468,9.347227,0.223655,1.482884
8.587678,9.795145,1.701977,8.190281,0.226904,1.800023
11.741729,1.545354,0.261720,8.092480,0.044034,1.467641
1.862440,11.481193,2.819961,5.370327,0.327247,3.093710
5.666061,6.231832,1.665829,5.202507,0.337899,1.822481
4.418546,-9.660127,-2.283611,5.197280,-0.329926,2.566270
5.904510,-12.733562,-2.273222,5.501656,-0.253011,3.196316
6.372713,-6.853221,-1.643426,8.386278,-0.303360,1.252136
3.163566,-6.830509,-2.274118,5.316821,-0.449297,1.774129
5.875482,6.365897,1.650878,6.341796,0.327107,1.534405
0.022026,-4.764752,-3.132347,6.302287,-0.698365,1.184108
7.080088,2.729905,0.736019,5.736201,0.187407,1.353191
7.228062,6.545461,1.471760,7.357740,0.268676,1.452940
7.470062,12.825774,2.086798,5.969181,0.228788,3.002419
7.269732,-3.735386,-0.949296,6.094653,-0.220057,1.392764
7.247471,4.932325,1.195116,5.957360,0.251276,1.562929
10.427246,7.247114,1.214748,7.929152,0.177865,1.704351
5.809654,7.015503,1.758289,7.532729,0.326133,1.380279
8.694523,0.579494,0.133104,6.480864,0.030508,1.345538
4.145695,-3.411692,-1.377156,5.778480,-0.442162,1.006840
0.702404,14.363137,3.043864,6.750669,0.270982,3.245900
1.689494,-7.504759,-2.698730,6.104998,-0.469469,1.742815
8.828927,10.333344,1.727493,9.296276,0.220117,1.660998
0.007444,-13.977250,-3.140527,9.798308,-0.278740,2.239976
6.199131,7.648100,1.779317,5.149920,0.305730,2.189246
4.127172,-5.859756,-1.914347,5.254427,-0.428071,1.596974
2.736551,-4.800612,-2.105392,5.601644,-0.561391,1.195317
0.131200,7.815790,3.108023,5.709867,0.472906,2.127764
2.768236,9.247034,2.559845,8.256084,0.377901,1.562021
10.541947,-2.042889,-0.382828,8.639389,-0.070760,1.250542
1.855492,10.598508,2.794963,7.344003,0.351013,2.078592
6.465563,-6.866861,-1.630977,6.545983,-0.299494,1.613861
4.983589,-3.942285,-1.338524,5.226559,-0.372335,1.311519
6.052887,4.009037,1.169995,6.568452,0.295327,1.170961
9.392245,-3.190172,-0.654868,5.556880,-0.128983,1.817339
6.224094,3.640359,1.058458,7.337492,0.273066,1.030112
3.823235,-5.709598,-1.961510,7.821679,-0.450528,1.036932
7.883733,2.003592,0.497747,6.920946,0.120525,1.187544
4.565013,7.598564,2.059617,6.032979,0.369071,1.765190
2.924539,14.421721,2.741445,8.986249,0.260347,2.290287
6.162965,-8.969935,-1.937603,5.767009,-0.294154,2.218198
7.534882,-1.605538,-0.419882,6.018875,-0.107795,1.289431
1.167317,-10.802331,-2.926305,7.629668,-0.350881,2.095769
2.359862,5.436376,2.322508,5.152760,0.554351,1.456032
3.547934,12.543296,2.590284,8.180307,0.287103,2.144796
4.860962,-5.330598,-1.662893,5.242722,-0.388848,1.548368
9.200102,-0.482198,-0.104729,6.940847,-0.022731,1.327927
1.351173,-12.921311,-2.933211,8.997314,-0.297161,2.129267
1.000811,10.705359,2.955161,8.970563,0.354728,1.778737
9.457205,1.341177,0.281752,8.020172,0.058722,1.194924
2.334574,13.222005,2.792061,8.251763,0.285362,2.306632
2.125541,10.765356,2.751722,6.083930,0.343438,2.529458
10.196887,5.780643,1.031455,5.709792,0.166723,2.146775
6.493026,-2.299705,-0.680789,5.091962,-0.191506,1.379251
9.019849,-7.775139,-1.422843,6.990586,-0.215903,1.856152
14.742866,-1.902557,-0.256680,5.106591,-0.034436,2.918974
3.070411,10.629244,2.579173,6.684702,0.334291,2.221656
1.799053,-5.623654,-2.522353,6.044383,-0.573036,1.293477
7.124811,-4.835479,-1.192549,5.706256,-0.255190,1.602272
6.633638,3.412384,0.950212,6.414222,0.240518,1.207953
10.666795,-4.761484,-0.839685,6.967947,-0.138694,1.726712
5.005974,13.856684,2.448238,9.566472,0.249991,2.004505
7.205298,6.473303,1.463871,5.507935,0.269275,1.925987
3.675520,-9.491978,-2.402704,7.979564,-0.351273,1.643327
2.265655,11.112659,2.739345,9.078264,0.332726,1.746301
8.239720,-1.193335,-0.287654,5.885539,-0.068764,1.419489
6.583367,-12.303523,-2.158961,7.017226,-0.247572,2.434583
12.507079,-1.202585,-0.191715,8.324381,-0.030470,1.511707
12.494274,7.073188,1.030262,5.323796,0.136390,2.819919
10.953588,5.736549,0.964877,7.995262,0.148962,1.608181
1.209063,-6.654943,-2.782155,5.018266,-0.526978,1.905660
2.852109,-9.720344,-2.570781,7.323731,-0.362185,1.852897
5.664633,-2.301725,-0.771907,6.137469,-0.241471,1.021413
13.233212,3.966208,0.582393,6.905082,0.082927,2.029228
0.234513,-9.621169,-3.092853,6.787496,-0.393809,2.193338
7.886860,-4.024810,-0.943736,7.598837,-0.202538,1.209633
4.675318,9.007564,2.184060,7.237592,0.336510,1.725236
2.023842,7.045957,2.582183,9.076785,0.482993,1.084912
8.478152,-6.837891,-1.357421,7.634173,-0.226601,1.542468
2.560944,-10.432379,-2.660152,9.445709,-0.347008,1.557535
8.326658,-4.560767,-1.002199,5.569999,-0.199712,1.777946
5.775118,-0.277521,-0.096035,5.215770,-0.033205,1.108945
3.821549,-4.695469,-1.775298,5.374503,-0.473562,1.289192
10.173004,3.552759,0.671985,9.103027,0.121775,1.206300
1.484110,-9.430802,-2.829416,8.958589,-0.392435,1.526160
2.258535,8.078706,2.596379,8.996670,0.430498,1.256841
2.979052,7.282131,2.364956,5.291528,0.439795,1.899649
6.586093,4.807624,1.261111,5.232872,0.281532,1.666511
7.655705,-1.139819,-0.295599,6.785338,-0.075967,1.144872
7.617857,-9.441762,-1.783814,9.051260,-0.251197,1.536039
5.736878,-0.208712,-0.072729,5.473790,-0.025337,1.048988
7.128225,4.262478,1.077854,6.405783,0.242304,1.361509
9.665500,-8.132994,-1.399014,5.000368,-0.201130,2.744631
7.128532,-1.357944,-0.376478,6.453729,-0.102795,1.131091
2.329301,8.565001,2.610525,9.063749,0.410178,1.324663
3.074209,7.444647,2.358366,9.965317,0.430324,1.031130
3.626791,-6.298104,-2.096640,7.234949,-0.445049,1.215192
8.653026,-3.274446,-0.723525,7.137405,-0.151849,1.324961
5.195954,4.118809,1.340542,5.453320,0.358547,1.311899
1.602403,-9.556396,-2.809326,8.994268,-0.386640,1.534414
8.018792,-2.846016,-0.682099,6.014872,-0.155970,1.442439
4.639179,-5.658057,-1.768048,7.950191,-0.399974,1.052111
3.960271,8.510313,2.270503,6.968906,0.368677,1.686564
5.303834,0.814818,0.304873,5.084249,0.112701,1.059527
1.282087,7.636962,2.808936,8.026606,0.471138,1.373951
1.080007,-6.629472,-2.818610,6.886814,-0.531386,1.392648
12.415944,-2.250232,-0.358582,9.954687,-0.056482,1.274381
5.321789,-4.354852,-1.371608,5.856732,-0.352967,1.271468
7.874956,6.028890,1.306793,7.794705,0.240418,1.367631
2.643641,-10.275453,-2.637960,5.696024,-0.350082,2.536896
9.532888,4.621094,0.902751,9.198954,0.163225,1.191696
10.790616,-9.201536,-1.412159,6.203763,-0.181026,2.487497
7.132610,4.671624,1.159718,5.851174,0.251585,1.542180
8.449224,7.686426,1.476318,6.533659,0.231420,1.917704
4.291009,-8.638073,-2.219496,9.190048,-0.355633,1.300494
13.522126,-0.684409,-0.101141,9.866421,-0.014943,1.372859
2.875911,-9.606867,-2.559854,7.105649,-0.365012,1.885544
1.392968,-6.961382,-2.746610,5.836447,-0.504753,1.703585
