deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
-1.620477,-3.687440,0.095193,6.362394,-0.737873,1.372516
9.919393,6.421834,0.468390,9.939899,0.181917,1.256829
-1.912028,-3.786852,2.900532,6.648501,-0.699669,1.456996
0.460731,-5.207553,0.109626,7.533499,-0.651241,1.032840
8.819705,-3.221726,0.941043,8.713521,-0.145147,1.099952
13.715731,-0.499869,2.912704,9.476121,-0.010624,1.448681
7.644744,-0.189770,2.985654,7.485855,-0.012990,1.021645
10.347163,-1.910092,1.994626,7.154828,-0.068912,1.478813
5.946396,-7.888922,0.471932,8.832033,-0.312734,1.295502
7.888767,3.674475,2.738863,8.665386,0.191679,1.036813
-2.253007,1.161531,1.040401,9.847354,0.626058,1.497368
-2.860377,-5.321978,2.739689,9.862140,-0.527946,1.435532
10.547279,-1.946047,1.995194,7.580124,-0.067577,1.422806
-1.105624,-5.790179,1.511274,7.940599,-0.587913,1.329764
10.778857,4.849219,2.656256,9.260493,0.137956,1.315153
4.373024,5.640204,2.584146,5.623910,0.416950,1.463312
-1.306974,-3.972433,0.699622,5.887113,-0.737549,1.412352
5.575489,3.467107,0.353929,6.021052,0.311254,1.148787
-1.425845,4.476214,2.382413,7.071240,0.681579,1.310247
-0.615626,-0.096021,0.082517,8.530678,-0.780056,1.415601
2.389502,-5.382676,2.180226,6.437268,-0.555574,1.154111
3.861779,-6.247448,3.033852,6.232553,-0.433832,1.409152
6.336156,2.798152,2.612929,6.630721,0.229184,1.075337
7.807016,-6.023620,2.154125,7.884742,-0.242917,1.345372
8.648389,-1.267970,2.226910,7.383735,-0.066297,1.187989
1.990602,-5.514791,1.731685,5.576128,-0.570538,1.368697
5.967934,-1.774194,1.325962,6.183037,-0.181081,1.021112
2.791474,7.797736,1.426444,7.443561,0.426744,1.450139
-1.379515,5.710090,1.934257,9.790092,0.584673,1.115974
-2.110315,3.915335,0.409318,7.069396,0.669616,1.476038
6.112464,5.632387,1.536524,6.252636,0.315224,1.460581
-2.506055,3.061857,1.612905,9.271032,0.663857,1.244578
6.407124,-7.669140,0.786562,8.327387,-0.298036,1.367988
4.040598,-8.593009,2.316887,9.070876,-0.364212,1.308610
1.204034,6.204399,2.382065,6.224162,0.555928,1.426511
-0.890678,-6.205802,1.801099,8.493868,-0.563305,1.277593
8.341462,-0.993385,2.396835,6.592248,-0.056260,1.277274
4.813729,-3.812939,2.074059,5.091619,-0.384341,1.301243
-2.312384,1.642976,0.149833,9.887872,0.684856,1.250073
6.716641,-3.079810,0.440273,5.250505,-0.221927,1.451616
6.853294,1.539316,1.388225,6.448236,0.124148,1.098209
2.738060,9.629983,1.845875,9.029048,0.366891,1.491441
-1.513484,3.435344,3.052210,6.265993,0.772784,1.300018
7.997223,9.173984,2.223131,9.897544,0.242849,1.392799
-0.510034,-7.086177,2.245307,8.530961,-0.511693,1.371522
0.312626,-5.323809,3.065305,6.982278,-0.642717,1.156945
-0.085321,5.017683,0.551656,6.192027,0.672869,1.287038
0.630759,0.099468,1.872396,9.021691,0.773129,1.498554
2.805846,-5.953956,2.322228,6.022456,-0.502650,1.365738
3.975056,5.367400,2.722776,5.494656,0.448544,1.411788
11.562130,-2.376327,1.867966,9.922778,-0.068126,1.197752
9.573839,0.834289,0.546153,8.664078,0.036109,1.110589
4.342487,-8.231404,2.605314,9.486776,-0.363284,1.203821
-2.298866,5.191255,3.064155,8.851077,0.572276,1.394408
6.649508,-1.529436,1.721119,6.586309,-0.130670,1.044834
10.965742,-0.921089,2.615060,8.824153,-0.030426,1.248533
13.582846,1.878139,0.863320,9.800781,0.039925,1.403492
0.821794,4.785953,2.517956,6.128681,0.681911,1.126108
0.814892,-5.993615,0.404229,8.439705,-0.580077,1.038411
5.343237,-7.003589,0.508484,7.357051,-0.346457,1.384170
-2.158228,-2.860081,1.776649,8.261137,-0.727902,1.204736
2.149111,9.903245,2.243719,9.500755,0.368145,1.481209
1.089432,-8.334653,0.371826,9.387563,-0.440895,1.301075
4.132982,-4.803561,0.877788,5.934539,-0.446305,1.211839
3.828234,4.068891,1.984624,6.033893,0.480662,1.037181
6.405093,2.781912,2.574504,5.098151,0.224341,1.408832
9.451382,0.997214,0.660495,8.333058,0.044123,1.142602
5.289981,-5.201414,1.401424,7.420872,-0.361425,1.107867
9.731094,0.665545,0.429062,6.840184,0.027965,1.427069
6.290645,6.904795,2.085434,7.403237,0.306568,1.419907
8.543430,-0.366468,2.872242,7.547103,-0.020054,1.133403
4.677716,2.062109,2.608827,5.028835,0.305723,1.046359
5.673595,-3.713794,2.641547,5.742458,-0.312491,1.249651
-1.241403,6.939333,1.557083,8.664261,0.509373,1.444652
-1.749644,4.337852,2.853707,8.197865,0.670504,1.202268
7.867036,3.765417,2.804862,6.195676,0.195463,1.455578
3.105501,6.260083,0.692971,8.382343,0.473807,1.033242
0.638975,-4.893709,0.370959,5.165045,-0.676987,1.388538
7.271466,0.359287,0.310204,5.655570,0.027098,1.287809
-2.099360,-3.701373,2.596609,8.831312,-0.685418,1.155946
1.838508,-7.243684,1.116921,7.559429,-0.478573,1.348628
9.493236,6.831580,0.777712,8.922315,0.197160,1.399881
2.986462,-7.394435,1.966952,8.984607,-0.435336,1.136220
-2.165952,1.848709,2.733511,7.417535,0.739353,1.439963
7.831469,6.667845,1.290039,8.528457,0.246955,1.312142
7.491251,-6.020756,2.029494,9.483021,-0.255060,1.095246
-1.996988,-1.379314,2.908250,8.627179,-0.752704,1.255920
0.381003,-5.368358,0.000357,6.197938,-0.637967,1.305723
9.706302,2.784787,1.755523,7.087656,0.108801,1.443422
6.279154,7.838300,2.484330,9.781383,0.301360,1.177985
7.744731,-7.776389,1.335567,9.879608,-0.252727,1.234572
10.532717,-1.757852,2.102540,9.266277,-0.061596,1.157663
9.352071,-1.278099,2.288189,8.578045,-0.057329,1.103758
5.627449,2.588620,2.708919,6.117898,0.263576,1.044546
-1.574568,-4.495730,0.580054,6.707283,-0.670172,1.435522
5.711915,3.211419,0.076564,5.116191,0.290676,1.338559
4.582975,6.522965,2.879796,7.249120,0.389562,1.288014
3.466469,-4.231458,0.726029,5.487309,-0.514806,1.139748
6.086797,-0.570477,2.554425,5.117567,-0.060989,1.196346
5.916046,-6.792849,0.915584,7.828042,-0.323135,1.303596
4.170151,5.091465,2.416190,5.604306,0.439515,1.342694
-0.237851,-5.546045,2.427467,8.290784,-0.623974,1.081426
7.095747,7.483189,1.960149,9.738341,0.274353,1.184937
11.016007,1.864847,1.053661,8.242386,0.059675,1.361896
4.362167,-5.681167,0.527902,8.013294,-0.416977,1.032264
2.208610,-6.017271,1.765462,5.585682,-0.529944,1.490126
3.757643,-6.373626,2.902281,7.137648,-0.435853,1.249168
5.249306,-4.158557,2.073619,6.878468,-0.355177,1.050447
5.108954,4.328029,1.274448,5.355644,0.368495,1.359413
1.645960,-5.426415,1.405592,7.237198,-0.593779,1.045003
11.717596,1.164266,0.622258,9.199139,0.033564,1.282138
12.670044,-4.303473,1.084281,9.681821,-0.095856,1.407078
-2.049673,-4.854323,0.186459,8.003637,-0.610285,1.408085
3.080349,6.969285,0.971532,8.972875,0.447630,1.071998
6.501868,6.656306,1.866953,7.930663,0.298331,1.307405
3.855435,-8.101380,2.346046,8.001821,-0.382729,1.398962
7.990425,-5.027606,2.754445,6.920684,-0.221939,1.438543
0.036037,-7.473155,2.727065,8.164515,-0.491448,1.433403
-1.307099,-5.212174,1.152919,8.446802,-0.625366,1.191384
8.294194,0.353047,0.267286,7.898592,0.020478,1.051353
-1.104394,7.711716,1.338564,9.796326,0.470229,1.376170
5.349066,-6.859551,0.574940,6.732373,-0.347886,1.488536
8.187212,-0.776063,2.547786,6.150264,-0.045876,1.339156
7.734516,2.222007,1.757726,7.247051,0.136383,1.125050
6.677223,-6.619960,1.375441,7.102302,-0.291021,1.468740
5.501777,5.392084,1.729945,7.095925,0.348592,1.202536
2.953315,-3.814083,0.553472,5.309260,-0.580341,1.047882
-2.680797,-3.861667,2.025549,9.683493,-0.610045,1.286920
0.766277,-5.748878,0.387762,7.698849,-0.599673,1.093077
-1.703689,-5.237488,0.720756,9.530228,-0.604431,1.145721
6.114006,-3.189001,0.120828,6.803915,-0.262100,1.053613
5.169145,-2.220608,0.592183,5.204716,-0.273608,1.111170
-2.043029,3.858094,0.363159,8.468632,0.680631,1.200366
7.717781,-0.902023,2.410556,6.213366,-0.059698,1.253406
5.169861,-4.794641,1.584869,5.988282,-0.368182,1.294794
-2.272139,-6.416942,0.558543,9.291453,-0.505845,1.485342
6.753177,-3.304813,0.282060,5.708455,-0.229738,1.363663
5.311730,7.097900,2.691406,8.646547,0.346644,1.188865
-1.802374,6.037076,2.267746,8.402495,0.546526,1.456222
7.147849,5.205139,0.813103,8.305963,0.260248,1.138244
8.847591,5.153399,0.172318,8.340244,0.194138,1.286484
3.743326,5.061936,2.727192,5.002199,0.472277,1.462100
1.347521,7.896442,2.524429,9.725471,0.457397,1.171293
8.847894,4.880418,0.025534,8.446252,0.188905,1.248550
-0.132095,0.003681,0.714600,9.861002,0.700532,1.497897
5.863818,-0.820895,2.267668,5.226016,-0.093398,1.136647
1.988727,5.353101,1.351447,5.936319,0.580995,1.246941
10.247352,-2.101831,1.870480,7.205605,-0.076691,1.461693
10.967008,-1.546662,2.261289,7.454846,-0.050402,1.490554
5.663360,4.297948,0.937298,5.461710,0.327838,1.397845
5.849741,-4.255936,2.331233,6.449434,-0.314513,1.199185
8.812655,-5.635726,2.708297,7.804821,-0.203181,1.415414
0.227968,-5.164274,2.973947,6.745076,-0.658098,1.171160
7.317414,0.984621,0.840409,5.585762,0.072112,1.325768
5.464030,3.521382,0.455375,6.438854,0.321746,1.066893
0.814736,4.202232,2.383152,5.338999,0.742330,1.126424
4.329192,6.763795,0.009080,8.404785,0.397210,1.136078
7.638935,4.817355,0.393572,6.385277,0.231996,1.491832
1.227029,5.315312,2.160930,6.139157,0.620360,1.225583
-1.745461,-0.993261,2.360976,8.129944,-0.777894,1.310698
3.937611,2.964663,0.913326,5.208243,0.454097,1.015395
-1.208844,-6.315266,1.508437,8.513928,-0.548478,1.353268
9.733520,-0.228186,2.994321,6.994744,-0.009638,1.392057
3.682788,4.823127,2.630567,6.510270,0.482567,1.077406
