deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
28.331733,-13.762322,-0.904376,12.083523,-0.055441,2.697641
14.600133,-18.236757,-1.791394,13.870420,-0.132888,1.932467
11.355994,7.838585,1.208318,9.327642,0.163200,1.573306
1.950949,-1.016172,-0.960392,11.184189,-0.698681,0.204449
3.450158,-6.574676,-2.175067,5.763221,-0.445114,1.582307
0.078316,-10.898742,-3.127221,9.155905,-0.351745,1.861342
11.327559,-10.112883,-1.457610,7.265215,-0.173674,2.287268
29.959635,32.614818,1.655610,11.909247,0.066409,4.179980
2.526149,9.031646,2.596132,14.292875,0.389732,0.884415
23.745846,-5.896880,-0.486818,5.928155,-0.039392,4.168307
2.029852,-1.611857,-1.342237,10.422242,-0.764831,0.268396
2.379446,-6.907450,-2.478104,14.963853,-0.477684,0.639828
8.836535,7.196909,1.366979,10.192630,0.218112,1.210156
3.270372,-2.568290,-1.331451,10.558510,-0.536093,0.424502
12.817356,5.321287,0.787018,8.830173,0.110058,1.612971
18.302248,-1.418240,-0.154671,5.085930,-0.016843,3.612992
7.733879,3.120472,0.767007,8.183951,0.177565,1.044443
32.609265,19.453600,1.075782,9.404743,0.053908,4.238913
23.943828,41.507704,2.095142,7.187545,0.072171,8.062750
2.487120,9.547551,2.631923,12.562733,0.373869,1.067985
2.106089,-1.254605,-1.074509,5.973928,-0.695767,0.430786
1.924965,-0.612077,-0.615717,11.346110,-0.540471,0.180872
4.728200,0.272462,0.115122,7.366035,0.048540,0.643312
6.096259,3.289707,0.989689,5.511846,0.267630,1.309586
4.814978,0.169240,0.070268,5.117719,0.029145,0.941619
5.330482,-13.436036,-2.386224,5.309317,-0.251774,3.494582
8.639195,1.280233,0.294237,5.728391,0.067027,1.530119
1.291182,-0.417165,-0.625003,10.698171,-0.736295,0.128923
13.344398,-32.871583,-2.370333,6.311434,-0.104102,7.189907
2.435777,-0.448774,-0.364399,10.880375,-0.284690,0.228901
15.625466,14.957342,1.527110,8.221272,0.127174,2.905220
7.250117,-2.546689,-0.675597,8.320476,-0.170840,0.941352
1.572279,-0.095149,-0.120886,7.803949,-0.152221,0.201964
0.930517,18.369865,3.040370,5.800720,0.213859,4.826513
6.913958,-3.397386,-0.913457,6.951804,-0.225121,1.147625
6.766643,-2.893692,-0.808211,5.310715,-0.210554,1.424214
1.957272,-3.457304,-2.111312,5.685132,-0.719498,0.847730
19.380602,21.847597,1.690329,9.392185,0.102093,3.513030
0.208978,24.980241,3.124862,11.885107,0.158758,3.284163
1.026441,-6.824779,-2.843032,6.716540,-0.520442,1.477097
26.272920,12.765922,0.904603,13.171151,0.059766,2.295201
2.492229,-9.198873,-2.612440,5.392161,-0.384906,2.391941
2.422172,-1.909182,-1.335022,7.568526,-0.676493,0.439407
5.105086,-1.670058,-0.632326,8.898592,-0.227543,0.613788
5.478338,5.266728,1.531414,6.407966,0.349781,1.310262
13.138709,18.358906,1.899277,9.962566,0.143088,2.646267
14.501862,-12.242155,-1.402209,12.102394,-0.135140,1.704380
0.013743,4.119600,3.134921,5.686665,0.770654,1.135531
1.759930,5.348635,2.505824,5.157744,0.593599,1.439956
9.453206,-23.235815,-2.368819,9.849497,-0.146651,3.256599
5.870068,-20.453581,-2.582627,8.891667,-0.178764,3.215081
18.346060,2.821189,0.305162,14.418895,0.032732,1.292327
10.866228,-22.734305,-2.249861,7.509315,-0.142268,4.183745
25.323732,31.719026,1.794092,6.533111,0.076855,7.131333
6.545890,-19.724891,-2.500746,11.573067,-0.180690,2.365810
5.942866,-3.093984,-0.960017,12.788276,-0.269020,0.544593
4.245552,-6.580203,-1.995605,12.351461,-0.405442,0.752863
1.753102,-1.028930,-1.061492,8.003064,-0.783427,0.266325
12.848167,11.671683,1.474908,8.482234,0.153717,2.244376
14.423511,10.935578,1.297428,8.946686,0.132719,2.172330
15.788604,33.856924,2.268886,9.430628,0.096728,4.958458
46.795614,4.723549,0.201199,8.895586,0.008531,5.296203
12.958125,35.959467,2.449855,5.366881,0.098126,9.273087
5.310395,32.280159,2.815494,5.581015,0.120060,8.362659
5.745431,4.709220,1.373212,14.420781,0.328920,0.557962
3.681787,3.016992,1.372962,9.522301,0.489391,0.541415
3.221995,-19.157103,-2.808336,9.488569,-0.200342,2.915161
4.068050,2.486462,1.097253,14.516102,0.412430,0.345520
15.791898,-21.638288,-1.880681,5.153445,-0.120045,6.051275
10.207662,-1.648593,-0.320246,11.257192,-0.061611,0.922455
6.506713,11.765279,2.131239,11.856721,0.254688,1.380815
3.503586,5.653057,2.031936,8.360979,0.472571,0.950775
3.344585,-0.482596,-0.286605,13.382586,-0.167475,0.253375
10.237419,-1.561575,-0.302738,7.000903,-0.058189,1.484878
0.033838,-12.023670,-3.135964,5.516856,-0.321167,3.417354
9.421948,-8.199016,-1.432214,11.498380,-0.207228,1.184938
8.279789,5.623885,1.193300,11.037323,0.220871,0.962972
3.346864,2.805070,1.395112,9.751693,0.531819,0.486300
5.393290,-5.730310,-1.631373,10.129051,-0.354523,0.870233
3.481118,-0.163386,-0.093801,11.415617,-0.053770,0.305391
23.385563,-2.575588,-0.219387,7.751541,-0.018620,3.041230
6.614091,5.330341,1.356665,7.789981,0.287294,1.178800
10.925140,5.883041,0.987922,6.590954,0.151654,1.961441
12.439856,-8.640121,-1.214120,7.640620,-0.149540,2.109501
27.567151,-6.008513,-0.429206,6.812884,-0.030192,4.173283
1.797190,-0.022330,-0.024848,8.003454,-0.027652,0.224575
19.474424,21.325782,1.661486,13.601533,0.101912,2.388702
7.637842,1.953475,0.500790,8.118642,0.125055,0.981283
4.150133,-1.299984,-0.607116,13.124188,-0.268313,0.336515
20.262267,12.690859,1.119110,8.450017,0.088564,2.982631
1.132329,10.635683,2.929462,9.465007,0.356020,1.664551
5.164839,0.848699,0.325734,6.778753,0.123278,0.775558
2.125014,0.035244,0.033168,5.998929,0.031191,0.354297
22.763142,14.455317,1.131561,7.019577,0.079344,4.054279
12.545357,2.645252,0.415622,5.893404,0.064269,2.191256
3.589321,2.890508,1.355938,8.288473,0.498521,0.601008
2.053601,-0.827188,-0.765834,6.265754,-0.593792,0.362124
26.762865,-20.984928,-1.329948,9.406524,-0.072456,3.896352
6.921711,42.170560,2.816222,6.463441,0.092093,9.434692
10.144292,6.740603,1.172964,8.557070,0.179785,1.508329
7.800608,-2.477785,-0.615121,7.255518,-0.146896,1.146045
6.148343,4.726767,1.310834,6.197002,0.304569,1.345759
20.932370,31.800842,1.977310,10.014680,0.087525,4.499607
0.999809,0.234469,0.460702,8.679309,0.726875,0.119373
19.619154,21.712787,1.672018,7.011287,0.101064,4.702753
3.431725,2.090869,1.094425,11.261007,0.477864,0.375304
15.360837,-14.871054,-1.538397,9.087068,-0.129416,2.601882
27.178731,-36.114594,-1.851306,5.619191,-0.070603,9.318560
7.407816,-12.559191,-2.075773,5.026794,-0.232041,3.495255
27.613915,-12.966414,-0.878002,14.886476,-0.055683,2.116621
23.578231,-16.507312,-1.221597,12.653859,-0.079546,2.422431
6.511435,7.259159,1.679287,6.670026,0.296344,1.649054
11.939328,5.021863,0.796302,8.546068,0.119157,1.556403
16.041230,7.907292,0.915960,9.053057,0.098558,2.046279
3.178146,-0.098076,-0.061699,9.220858,-0.038793,0.344888
0.511050,-44.662081,-3.118708,9.227925,-0.089321,7.548080
7.712320,-8.045757,-1.613109,7.586739,-0.253529,1.641280
4.381349,-6.126625,-1.899973,11.190731,-0.407771,0.786075
26.153451,4.000942,0.303605,5.816568,0.022848,4.566198
5.149074,-1.327607,-0.504676,8.385452,-0.185658,0.640911
2.886986,-0.192278,-0.133007,10.203837,-0.091624,0.283767
2.357343,1.085998,0.863412,8.903601,0.572735,0.300763
2.312426,0.526157,0.447451,9.014231,0.358070,0.265295
5.652423,-23.099578,-2.661628,12.955307,-0.161960,2.514949
37.527064,1.316491,0.070133,13.811681,0.003725,2.719281
8.081086,4.251429,0.968612,8.819522,0.201188,1.076947
21.576208,-19.640458,-1.476935,8.382683,-0.092036,3.818293
0.093091,-20.998298,-3.132726,11.736046,-0.188243,2.802614
1.604094,-0.660276,-0.780965,13.630483,-0.720373,0.130557
2.895805,-24.583999,-2.907089,10.328740,-0.159134,3.507663
