deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
1.193597,-6.859568,-2.797033,6.811444,-0.515047,1.451040
6.660655,-8.662506,-1.830609,8.391289,-0.282446,1.503522
1.105534,-0.047198,-0.085333,8.838933,-0.152993,0.125227
43.966126,9.959163,0.445520,5.657103,0.019590,8.035029
2.202424,-7.940483,-2.600463,11.832585,-0.437536,0.939672
23.013294,10.447936,0.852344,7.139802,0.065322,3.649331
12.984656,36.883597,2.464603,6.682093,0.096183,7.645026
11.788477,-5.203345,-0.831346,9.146912,-0.124709,1.450157
20.480576,25.671457,1.794802,12.223977,0.094918,3.084144
2.428248,-1.761635,-1.255240,5.691626,-0.664281,0.563345
3.122054,-16.116301,-2.758892,9.562288,-0.234816,2.412170
22.465241,12.698840,1.028976,12.567247,0.076118,2.146898
25.283675,8.980280,0.682566,10.997010,0.049845,2.487872
0.297414,6.934117,3.055863,5.631642,0.522424,1.884769
14.341500,-14.971908,-1.613801,9.869622,-0.138445,2.347177
6.857036,-6.280510,-1.483085,6.557742,-0.282775,1.556757
10.669906,29.785551,2.453627,6.498879,0.118453,6.344244
14.604375,7.401136,0.938106,5.960214,0.109982,2.850370
6.681812,48.463826,2.867576,10.750389,0.080810,6.586525
1.597893,0.085826,0.107321,5.910651,0.133265,0.270861
9.950619,-17.307215,-2.098014,12.846675,-0.171994,1.880391
6.778778,1.906580,0.548348,5.493063,0.152591,1.298146
2.403837,-2.228233,-1.495012,11.483390,-0.692550,0.313854
2.392756,0.118306,0.098807,5.745303,0.082258,0.417150
6.314646,-1.199378,-0.375400,13.491716,-0.115617,0.479215
12.717898,10.150314,1.347178,13.065242,0.152148,1.344848
2.025499,21.656393,2.955077,8.787738,0.181085,3.673080
15.426030,-23.751248,-1.989569,11.315224,-0.117908,2.968927
2.333819,0.337494,0.287229,5.159464,0.238157,0.458618
0.620642,17.515098,3.070753,10.859274,0.224242,2.479543
5.152512,0.819501,0.315455,13.459590,0.119839,0.389237
4.411821,-0.903665,-0.404068,14.174563,-0.176389,0.319883
2.286289,-3.181326,-1.895314,13.920258,-0.692257,0.328433
3.620351,5.555032,1.986419,9.875869,0.467949,0.795956
5.696955,-3.917461,-1.204766,5.396320,-0.316780,1.362118
